"seed","converged","logLik","grad_norm","hessian_ok","beta0","beta1","beta2","beta3","beta4","beta5","beta6","beta7","beta8","gamma0","gamma1","gamma2","gamma3","gamma4","gamma5","gamma6","gamma7","gamma8"
11,TRUE,-891.71413407692,0.0299772710185898,TRUE,1.45233559745802,0.328629188452768,0.105819373324831,0.393438413639817,0.215263767054005,0.351663168519642,0.320532854096812,0.349171848064083,0.335276560730942,-0.487479570643879,-0.0868809500215536,0.295217850905245,0.147577554694593,0.287157719014251,0.130693683221583,0.0593117161950941,0.16782560419435,0.456592882503846
12,TRUE,-891.714131687767,0.00463855722215277,TRUE,1.45232183618096,0.328625862851225,0.105842924248855,0.393425334394467,0.215252387039685,0.35165857086357,0.320474063904048,0.349163884306102,0.335249707476997,-0.487459704762541,-0.0868572682733325,0.295327878322056,0.147429634587496,0.287258921546621,0.130625177654254,0.0592673197556363,0.167928250712436,0.456496897652319
13,TRUE,-891.714132426208,0.0107801518391886,TRUE,1.45231814684093,0.328656287293381,0.105833613056647,0.393434246360857,0.215253948034067,0.351665818072171,0.32048525212802,0.349164737076688,0.335236317517488,-0.487530222789542,-0.0867657730373776,0.295257802791979,0.14745876651307,0.287205037177001,0.13070995099547,0.0592177183771278,0.167990116816113,0.456477545244525
14,TRUE,-891.714131924912,0.00627702812533533,TRUE,1.45232436905351,0.328631229852593,0.105829713303778,0.393425937334551,0.21524908487431,0.351664775885537,0.320472801327591,0.349163973224367,0.33524653150273,-0.487456811824628,-0.0867974638182419,0.295247747984415,0.147415596576556,0.287229507839434,0.130643162783872,0.0592080440560118,0.167955971886329,0.456494758216786
15,TRUE,-891.714133041014,0.0131888686223111,TRUE,1.45233413793805,0.328636816625397,0.105820640954438,0.393428263575444,0.215247408808019,0.351683076351074,0.320477732777765,0.349148326800756,0.3352306002678,-0.487365575667491,-0.0867361813719046,0.295240075095288,0.147395368664203,0.287116154879343,0.130744452957961,0.0592229691638909,0.167883988422394,0.456466785178094
16,TRUE,-891.714132200121,0.0167783240362766,TRUE,1.45232516388016,0.328609000156484,0.10585812880284,0.393415976500789,0.215253158869407,0.351656067372066,0.320440440029532,0.349151664614829,0.335241739772495,-0.487418508413587,-0.0869146272125461,0.295341619297034,0.147394497367746,0.287207377059206,0.130648645303417,0.0592268843386768,0.167904313787148,0.456532449927803
17,TRUE,-891.714132562275,0.0239852471636252,TRUE,1.45234199935815,0.32865891198412,0.105878485568711,0.393416201741183,0.215290502701488,0.351633332973976,0.320476161426933,0.349188120739608,0.335241932531605,-0.487462615374877,-0.0868833102536135,0.295348723645467,0.147393885397844,0.287306509777338,0.130567187298851,0.0592654256144516,0.167959942045731,0.456415768843036
18,TRUE,-891.714132241128,0.0100802630994362,TRUE,1.45233209952592,0.32864203093906,0.105829935369981,0.393399592527972,0.215275389210057,0.351659314212079,0.320480152099647,0.349170415907986,0.33522819737793,-0.487393727852821,-0.0868034102318027,0.295250887472646,0.147418175844084,0.287240782345671,0.130677572271779,0.0592996319208902,0.167897649200314,0.45641835286493
19,TRUE,-891.714132596187,0.025280130322153,TRUE,1.45233596777637,0.328664990667166,0.105835806447709,0.393434662379294,0.215253908542407,0.351669158956695,0.320501995792958,0.349193711595553,0.335255250127946,-0.487447464679126,-0.0868005177588334,0.295246711412305,0.147393729324022,0.287286203151362,0.130595380723538,0.0592937694538482,0.167884236497121,0.456451109274485
20,TRUE,-891.714131933967,0.00815571709107722,TRUE,1.45232797177216,0.328617028590519,0.105837692693878,0.39340781302809,0.215274809855801,0.351646753707734,0.320474293816191,0.349160275870112,0.33523417403478,-0.487417192535508,-0.0868670049443106,0.295305841973571,0.147333207892632,0.287339332111367,0.130570974610225,0.0592667312722228,0.167934649869523,0.456501983897846
21,TRUE,-891.714132950266,0.0119260394507813,TRUE,1.45234719554579,0.328614466392218,0.105855098840826,0.393422143873454,0.215260240308224,0.351657822260175,0.320462792904578,0.34916297352833,0.335260092303278,-0.487402107523802,-0.0869243665680701,0.295369404612419,0.147412593789334,0.287106296860562,0.130753837658199,0.0591959153025266,0.167902020209723,0.456572571887664
22,TRUE,-891.714133889509,0.0416627568282363,TRUE,1.45235049468079,0.32867110887633,0.105896349410882,0.393446587178281,0.2152647531197,0.351619247006557,0.320433915258214,0.34915940534979,0.335251776346284,-0.487369552973864,-0.0869199828449281,0.295350698300179,0.147398813358005,0.287288426376614,0.130592768465095,0.0592252296533911,0.167951667567066,0.456493922916265
23,TRUE,-891.714131947103,0.0161285286099277,TRUE,1.45232769142102,0.328647630578401,0.10584670103965,0.393422836307841,0.215264623009796,0.351670027373852,0.320494218655697,0.349183612132137,0.335245333890759,-0.487441924150733,-0.0868297832408824,0.295310056438726,0.147362700447767,0.287263306009298,0.130628169937546,0.0592455677199242,0.167935196764274,0.456499922026582
24,TRUE,-891.714132026934,0.00811478400036011,TRUE,1.45233134364508,0.328639330926447,0.105842541353761,0.393413621175227,0.215255230179583,0.351646386272363,0.32048044172532,0.349172903433509,0.335241176530692,-0.487414053740419,-0.086790935855545,0.295298802748238,0.147387616700178,0.287195965107706,0.130635685513585,0.0592803010261021,0.167954869341445,0.456435500943387
25,TRUE,-891.714132304978,0.017960048822447,TRUE,1.45233739929577,0.328611313538769,0.105829926576321,0.393401109072682,0.215245368262552,0.351645822292195,0.320465548994516,0.349151328389948,0.335234273495475,-0.487401096781228,-0.086894086961658,0.2952898188819,0.147444585098066,0.28718400662882,0.13065032521485,0.0592881345928965,0.167919626223549,0.456476082408651
26,TRUE,-891.714132476091,0.0181927375149181,TRUE,1.45234987186357,0.328605748980133,0.105859233090711,0.393409968941997,0.215280113048569,0.351676833895558,0.320466575707986,0.349189402287466,0.335247692980741,-0.487363754011688,-0.0868727035394213,0.295347134132006,0.14743557342192,0.28719745602044,0.130634955198555,0.0591918164869292,0.167967672705765,0.45642797007467
27,TRUE,-891.714132292498,0.0146543769144318,TRUE,1.45234943232059,0.328637740087428,0.105857715404795,0.393402563800914,0.215270753405398,0.351628885331786,0.320479648924532,0.349190197100322,0.335252743205912,-0.487404622188347,-0.0868854439771742,0.295360544019332,0.147333583041606,0.287296091560177,0.130545017818376,0.0592353436664282,0.167999935020531,0.456449870126884
28,TRUE,-891.714134097329,0.0170421800534144,TRUE,1.45234648394569,0.328608850050441,0.10586193878208,0.39341430240343,0.215238920338246,0.351691396574371,0.320462232109034,0.349168186440054,0.33527259800933,-0.48739070066337,-0.0869672179061939,0.295402296939321,0.147395260886551,0.28711662782454,0.130791297682876,0.0592024976986316,0.167855871318022,0.456664832946112
29,TRUE,-891.714132024291,0.00843828408175685,TRUE,1.45231508937719,0.328619231859563,0.105844407489323,0.393420569023219,0.215266366900737,0.351669731474108,0.320472026431411,0.349160604554374,0.335248481545921,-0.48749434607319,-0.0868020520193165,0.295312367941708,0.147390262167306,0.287329304496497,0.130676700198536,0.059245878100583,0.16789002595067,0.45651936914749
30,TRUE,-891.71413271324,0.0128926566648704,TRUE,1.45234339932703,0.328589582005716,0.105860555435891,0.393441557947831,0.215254456066215,0.351677053077197,0.320453708937308,0.349172439616892,0.335233123745274,-0.487410468596125,-0.086975839750584,0.295405191990476,0.147386109480322,0.287322263461589,0.130677531536294,0.0591752555473513,0.167961432986558,0.456482205378909
31,TRUE,-891.714134149809,0.0171970364216457,TRUE,1.45229561734092,0.32861885349029,0.10584005348624,0.393439003948065,0.215255261444108,0.351692473705112,0.320461051413241,0.349153430039693,0.335258895162724,-0.487530689898241,-0.0868503409285814,0.295271949511978,0.147451944084895,0.287154931136462,0.130862976849017,0.0592002005815889,0.167881027375585,0.456696066451446
32,TRUE,-891.714132318616,0.0170347907139948,TRUE,1.45234610627037,0.328625116590413,0.105842072880223,0.393431961587821,0.215249812065836,0.351694323224821,0.320489783608086,0.349162473108531,0.335256739935096,-0.487425476977371,-0.0868640798091606,0.295313125022072,0.14739308570391,0.287239174216617,0.130635298958343,0.0593051775395989,0.167831734721661,0.45656057314137
33,TRUE,-891.714134171502,0.0465270309000857,TRUE,1.45234313316329,0.328595900948961,0.105839203024084,0.393387557297146,0.215292612391397,0.351674050895797,0.320512180085016,0.349225731477778,0.335271011823743,-0.487462792203852,-0.0868085749781373,0.295362911290946,0.147382909265521,0.287243716631856,0.130555044299371,0.0592795381941906,0.167878003134235,0.456527826391743
34,TRUE,-891.714133192518,0.0122232361952271,TRUE,1.45229497712185,0.328637232887268,0.10583703133788,0.393439123043692,0.215261078854208,0.351674416583,0.320464625746729,0.349189985244407,0.335245376518912,-0.487570344922961,-0.0867483007971941,0.295213355935193,0.147537056151074,0.28730445627923,0.130659114912771,0.0592324189208678,0.16804547160038,0.456528705324919
35,TRUE,-891.714132425008,0.0152947464752443,TRUE,1.45233156301392,0.328635573745384,0.105832761845773,0.393433357129908,0.21525706132977,0.351663522380244,0.320461601971045,0.349141377970257,0.335223100110743,-0.487390511038714,-0.0867952524961212,0.295229927126933,0.147421237385795,0.287248756282664,0.130584110573383,0.0591719377247869,0.167907590206276,0.456466044215175
36,TRUE,-891.714132681716,0.0100434435581843,TRUE,1.45233319705261,0.328634470641275,0.105834124510342,0.393411894621324,0.215262639211868,0.351654511503037,0.320477937749682,0.349155119809962,0.335233210276198,-0.487387128601229,-0.0868088185709036,0.2952302052117,0.147414269862731,0.287123286559732,0.130723375002433,0.0592444565308771,0.167827664787462,0.456472640855159
37,TRUE,-891.714134008311,0.0183702590323233,TRUE,1.45236741343803,0.328638493354963,0.105862441375613,0.393378717941891,0.215289792189033,0.351626184195243,0.320478553385483,0.349167002366019,0.335232124992838,-0.487315341873932,-0.0868862197701677,0.295261092830311,0.147260054837191,0.287369362526562,0.130415191821288,0.0593876122782932,0.16786003901335,0.456389199825597
38,TRUE,-891.714132261174,0.0115996248398913,TRUE,1.45234276033602,0.328618676730867,0.105848706560809,0.393400973157522,0.21526866599997,0.35163647100258,0.32046670381627,0.349181640402231,0.335247383532679,-0.487392736861822,-0.0868968064255835,0.295313902892541,0.147447441408621,0.287173819220069,0.130649850740821,0.0591823882208034,0.167921776762379,0.456483531989123
39,TRUE,-891.714133907169,0.0419595418530866,TRUE,1.45234481166335,0.328628039930112,0.105794313758812,0.393409189136935,0.215251220051559,0.351677716405886,0.320520097947948,0.349207596647453,0.335271171220202,-0.487466690389521,-0.0868713806484624,0.295235959860553,0.147470796616509,0.287198708170995,0.130632012652404,0.05922581931391,0.167930943166668,0.456533251438185
40,TRUE,-891.714133097796,0.0119499184267004,TRUE,1.45234064006725,0.32863040028407,0.105829589908396,0.393427882283793,0.215261801450411,0.351664362284619,0.320460731391844,0.34917300434593,0.335229567240173,-0.487346947344438,-0.0868482287341676,0.295156226404734,0.147505266565507,0.287187969451077,0.130667150981311,0.0592036026428211,0.167983396054371,0.456385117760155
41,TRUE,-891.714132075762,0.0186141388243633,TRUE,1.45232255967386,0.328621580929301,0.105830258855903,0.393401611468426,0.215244978780113,0.351641717442617,0.320489879385953,0.34916577864143,0.335263926227677,-0.487455991654989,-0.0868721009566824,0.295303995955505,0.147418764800931,0.287269995335591,0.130614904853206,0.0592954901320546,0.167910313597958,0.456501762712465
42,TRUE,-891.71413564678,0.0590950729683859,TRUE,1.45237784124944,0.328687203589961,0.105865753504173,0.393409323961957,0.215303948035597,0.351715347048007,0.320550017924559,0.349145155288003,0.335213804120309,-0.487444133848446,-0.0867632663481801,0.295265234856314,0.147380169978417,0.28731164187837,0.130617634517393,0.0592821856339799,0.167914761756381,0.456466426173232
43,TRUE,-891.714131938931,0.00642964196831812,TRUE,1.45233668861942,0.328621910220201,0.105846265346856,0.393397316672787,0.215283014703879,0.351638675000088,0.320465545147705,0.349172643222311,0.335235868356089,-0.487372125330391,-0.0868212249301431,0.295294887485622,0.147357364823763,0.287296958496585,0.130582730938231,0.0592211871714102,0.167957985377721,0.456472736458531
44,TRUE,-891.714133328872,0.014653560914649,TRUE,1.45231349360575,0.32865017251313,0.105857409151213,0.39339600655219,0.215296508418251,0.351634157970294,0.320474076664286,0.349202950732941,0.335229597302869,-0.487562942223366,-0.0867656368694829,0.295354728572269,0.14735782732939,0.287378305786754,0.130514012168052,0.0592384493530952,0.168056087200487,0.456393601587228
45,TRUE,-891.714132645582,0.0165832358474337,TRUE,1.45233065357638,0.328613455258562,0.10584128436191,0.393399949737658,0.215296719680742,0.351648013943261,0.320506137852438,0.34917384808478,0.335227670240989,-0.487414502284492,-0.0869177044073691,0.295418879560687,0.147343823343481,0.287308306111943,0.130667437708706,0.0592267504648692,0.167996397458106,0.456424290754072
46,TRUE,-891.714132237383,0.0130043136178362,TRUE,1.45234672323736,0.328636141985145,0.105855927965371,0.39342134273223,0.21525762064383,0.351628809550752,0.320463462486016,0.34916804180547,0.335250686882697,-0.487351337311401,-0.0868318432278761,0.295303826816309,0.147412476636976,0.287238967117221,0.130555382458872,0.0592460254025585,0.167873650901166,0.456484177804851
47,TRUE,-891.714132407102,0.00996737004269874,TRUE,1.4523432287811,0.328599770706541,0.105853711495803,0.393413645789645,0.215275672953497,0.35165183661614,0.320474878487043,0.349168435719858,0.335248268860528,-0.487398639653386,-0.0869950419048619,0.295384039830524,0.147371946433164,0.287312618707928,0.130598887439724,0.059254418628111,0.167912247813494,0.4565078644552
48,TRUE,-891.714132728928,0.0106619628850421,TRUE,1.45232868086832,0.328618499684762,0.105861493807504,0.393405578853403,0.215284857439473,0.351627465435589,0.320490230025844,0.349168374491109,0.335239632378959,-0.487460160876838,-0.086919761450186,0.295369330883069,0.147344255540473,0.287354126443769,0.130476000058545,0.0593847573070599,0.167940663496518,0.456498826979247
49,TRUE,-891.714132419902,0.011189678933093,TRUE,1.45232342726125,0.328627662979761,0.105860146334052,0.393389219187734,0.215288584337708,0.351633536878241,0.320473704950933,0.349197165768277,0.335240920545331,-0.487501351872147,-0.0868318309140551,0.295308698095466,0.147338461218639,0.287297674675208,0.130554015262473,0.0592409807441056,0.168039376889846,0.456507198926301
50,TRUE,-891.714132208517,0.012227368643052,TRUE,1.45233030099503,0.328616974322189,0.10584827006741,0.393420517763974,0.215264105127553,0.35165316679101,0.320453401403337,0.349157745397239,0.335237646318603,-0.487361502149566,-0.0868672676878226,0.295294716227946,0.147380135629349,0.287198042677037,0.13061021812626,0.0591803484411472,0.167972008714301,0.456465652273463
51,TRUE,-891.71413224899,0.00840570312268016,TRUE,1.45234105418525,0.328614518927113,0.105849313882839,0.39342916491283,0.215263291663393,0.351651924756373,0.320472339086069,0.349152519976711,0.3352438772776,-0.487385434079191,-0.0868518024269615,0.295269515218533,0.147474995380341,0.287212909518814,0.130559499298614,0.0592846200074416,0.167846053981828,0.456495636518685
52,TRUE,-891.714131732924,0.00428411512743747,TRUE,1.45232950996631,0.32862879587539,0.10584138029324,0.393418171900338,0.215263044087826,0.351659006230018,0.320474256587911,0.349166696736459,0.335240131714614,-0.487429226368628,-0.0868499460663832,0.295332869550037,0.147377915397514,0.287290620972081,0.130609058810368,0.059216367166675,0.167934229309446,0.4564576457945
53,TRUE,-891.714131970098,0.00714890817204739,TRUE,1.45234218646582,0.328631479491975,0.105840741724664,0.393423908438686,0.215256503675263,0.35165852999121,0.320461694034771,0.349162100617301,0.335240752176438,-0.487377479850391,-0.0868287635636637,0.29525462757327,0.147395447109122,0.287277840131216,0.130625173512353,0.0592159274363019,0.167911906642656,0.456431280758989
